type   n   time 
builtin_o2          3136  7.000000000000008E-005
basic          3249  1.904000000000000E-003
dotproduct          3249  8.319999999999999E-004
cached          3249  1.864000000000000E-003
both          3249  1.174000000000000E-003
builtin          3249  1.959000000000000E-003
basic_o2          3249  7.999999999999999E-005
dotproduct_o2          3249  1.310000000000000E-004
cached_o2          3249  1.140000000000000E-004
both_o2          3249  1.100000000000000E-004
builtin_o2          3249  8.299999999999996E-005
basic          3364  2.009000000000000E-003
dotproduct          3364  8.780000000000001E-004
cached          3364  1.974000000000000E-003
both          3364  1.216000000000000E-003
builtin          3364  2.094000000000000E-003
basic_o2          3364  9.199999999999996E-005
dotproduct_o2          3364  1.400000000000000E-004
cached_o2          3364  1.210000000000000E-004
both_o2          3364  1.340000000000000E-004
builtin_o2          3364  9.199999999999996E-005
basic          3481  2.230000000000000E-003
dotproduct          3481  9.249999999999999E-004
cached          3481  2.172000000000000E-003
both          3481  1.402000000000000E-003
builtin          3481  2.181000000000000E-003
basic_o2          3481  1.060000000000001E-004
dotproduct_o2          3481  1.470000000000000E-004
cached_o2          3481  1.359999999999999E-004
both_o2          3481  1.250000000000000E-004
builtin_o2          3481  1.050000000000000E-004
basic          3600  2.234000000000000E-003
dotproduct          3600  9.660000000000001E-004
cached          3600  2.246000000000000E-003
both          3600  1.381000000000000E-003
builtin          3600  2.278000000000000E-003
basic_o2          3600  1.180000000000000E-004
dotproduct_o2          3600  1.579999999999999E-004
cached_o2          3600  1.420000000000000E-004
both_o2          3600  1.339999999999999E-004
builtin_o2          3600  1.190000000000000E-004
basic          3721  2.351000000000000E-003
dotproduct          3721  1.066000000000000E-003
cached          3721  2.290000000000000E-003
both          3721  1.451000000000000E-003
builtin          3721  2.403000000000000E-003
basic_o2          3721  1.360000000000001E-004
dotproduct_o2          3721  1.650000000000001E-004
cached_o2          3721  1.560000000000000E-004
both_o2          3721  1.449999999999999E-004
builtin_o2          3721  1.340000000000000E-004
basic          3844  2.575000000000000E-003
dotproduct          3844  1.062000000000000E-003
cached          3844  2.421000000000000E-003
both          3844  1.521000000000000E-003
builtin          3844  2.515000000000000E-003
basic_o2          3844  1.469999999999999E-004
dotproduct_o2          3844  1.790000000000001E-004
cached_o2          3844  1.770000000000000E-004
both_o2          3844  1.539999999999999E-004
builtin_o2          3844  1.479999999999999E-004
basic          3969  2.533000000000000E-003
dotproduct          3969  1.114000000000000E-003
cached          3969  2.588000000000000E-003
both          3969  1.564000000000000E-003
builtin          3969  2.618000000000000E-003
basic_o2          3969  1.650000000000000E-004
dotproduct_o2          3969  1.890000000000000E-004
cached_o2          3969  1.920000000000000E-004
both_o2          3969  1.670000000000000E-004
builtin_o2          3969  1.650000000000000E-004
basic          4096  2.659000000000000E-003
dotproduct          4096  1.168000000000000E-003
cached          4096  2.635000000000000E-003
both          4096  1.650000000000000E-003
builtin          4096  2.884000000000000E-003
basic_o2          4096  1.020000000000000E-004
dotproduct_o2          4096  1.830000000000000E-004
cached_o2          4096  1.640000000000001E-004
both_o2          4096  1.580000000000000E-004
builtin_o2          4096  1.010000000000000E-004
basic          4225  2.855000000000000E-003
dotproduct          4225  1.254000000000000E-003
cached          4225  2.773000000000000E-003
both          4225  1.786000000000000E-003
builtin          4225  2.917000000000000E-003
basic_o2          4225  1.159999999999999E-004
dotproduct_o2          4225  2.339999999999999E-004
cached_o2          4225  1.699999999999999E-004
both_o2          4225  1.620000000000000E-004
builtin_o2          4225  1.160000000000001E-004
basic          4356  2.971000000000000E-003
dotproduct          4356  1.270000000000000E-003
cached          4356  2.970000000000000E-003
both          4356  1.792000000000000E-003
builtin          4356  3.006000000000000E-003
basic_o2          4356  1.320000000000001E-004
dotproduct_o2          4356  2.040000000000001E-004
cached_o2          4356  1.840000000000000E-004
both_o2          4356  1.710000000000000E-004
builtin_o2          4356  1.320000000000000E-004
basic          4489  3.130000000000000E-003
dotproduct          4489  1.561000000000000E-003
cached          4489  3.097000000000000E-003
both          4489  1.888000000000000E-003
builtin          4489  3.155000000000000E-003
basic_o2          4489  1.479999999999999E-004
dotproduct_o2          4489  2.140000000000000E-004
cached_o2          4489  2.250000000000000E-004
both_o2          4489  1.790000000000001E-004
builtin_o2          4489  1.490000000000000E-004
basic          4624  4.101000000000000E-003
dotproduct          4624  1.385000000000000E-003
cached          4624  3.232000000000000E-003
both          4624  1.957000000000000E-003
builtin          4624  3.316000000000000E-003
basic_o2          4624  1.669999999999999E-004
dotproduct_o2          4624  2.340000000000000E-004
cached_o2          4624  2.120000000000001E-004
both_o2          4624  1.920000000000001E-004
builtin_o2          4624  1.660000000000000E-004
basic          4761  3.377000000000000E-003
dotproduct          4761  1.457000000000000E-003
cached          4761  3.387000000000000E-003
both          4761  2.048000000000000E-003
builtin          4761  3.435000000000001E-003
basic_o2          4761  1.850000000000001E-004
dotproduct_o2          4761  2.389999999999998E-004
cached_o2          4761  2.290000000000000E-004
both_o2          4761  2.070000000000000E-004
builtin_o2          4761  1.840000000000000E-004
basic          4900  3.531000000000000E-003
dotproduct          4900  1.509000000000000E-003
cached          4900  3.476000000000000E-003
both          4900  2.173000000000000E-003
builtin          4900  3.703000000000000E-003
basic_o2          4900  2.029999999999999E-004
dotproduct_o2          4900  2.509999999999999E-004
cached_o2          4900  2.519999999999999E-004
both_o2          4900  2.199999999999999E-004
builtin_o2          4900  2.029999999999999E-004
basic          5041  3.651000000000000E-003
dotproduct          5041  1.581000000000000E-003
cached          5041  3.635000000000000E-003
both          5041  2.301000000000000E-003
builtin          5041  3.895000000000000E-003
basic_o2          5041  2.230000000000001E-004
dotproduct_o2          5041  2.660000000000001E-004
cached_o2          5041  2.819999999999999E-004
both_o2          5041  2.369999999999999E-004
builtin_o2          5041  2.230000000000001E-004
basic          5184  3.828000000000000E-003
dotproduct          5184  1.675000000000000E-003
cached          5184  3.858000000000000E-003
both          5184  2.538000000000000E-003
builtin          5184  4.024000000000000E-003
basic_o2          5184  1.460000000000001E-004
dotproduct_o2          5184  2.570000000000000E-004
cached_o2          5184  2.379999999999999E-004
both_o2          5184  2.210000000000000E-004
builtin_o2          5184  1.440000000000000E-004
basic          5329  3.927000000000000E-003
dotproduct          5329  1.812000000000000E-003
cached          5329  3.970000000000000E-003
both          5329  2.512000000000000E-003
builtin          5329  4.089000000000001E-003
basic_o2          5329  1.610000000000000E-004
dotproduct_o2          5329  2.930000000000001E-004
cached_o2          5329  2.430000000000001E-004
both_o2          5329  2.320000000000001E-004
builtin_o2          5329  1.609999999999999E-004
basic          5476  4.115000000000000E-003
dotproduct          5476  1.859000000000000E-003
cached          5476  4.134000000000001E-003
both          5476  2.585000000000000E-003
builtin          5476  4.229999999999999E-003
basic_o2          5476  1.800000000000000E-004
dotproduct_o2          5476  2.850000000000000E-004
cached_o2          5476  2.720000000000000E-004
both_o2          5476  2.400000000000000E-004
builtin_o2          5476  1.820000000000000E-004
basic          5625  4.633000000000000E-003
dotproduct          5625  2.037000000000000E-003
cached          5625  4.369000000000000E-003
both          5625  2.728000000000000E-003
builtin          5625  4.470000000000000E-003
basic_o2          5625  2.020000000000001E-004
dotproduct_o2          5625  2.970000000000001E-004
cached_o2          5625  2.730000000000000E-004
both_o2          5625  2.510000000000000E-004
builtin_o2          5625  2.019999999999999E-004
basic          5776  4.519000000000000E-003
dotproduct          5776  1.953000000000000E-003
cached          5776  4.520000000000000E-003
both          5776  2.805000000000000E-003
builtin          5776  4.598000000000000E-003
basic_o2          5776  2.240000000000000E-004
dotproduct_o2          5776  3.200000000000001E-004
cached_o2          5776  2.910000000000001E-004
both_o2          5776  2.630000000000001E-004
builtin_o2          5776  2.249999999999999E-004
basic          5929  4.707000000000000E-003
dotproduct          5929  2.045000000000000E-003
cached          5929  4.669000000000000E-003
both          5929  2.905000000000000E-003
builtin          5929  4.767000000000000E-003
basic_o2          5929  2.469999999999999E-004
